nominal, lapu, genrr, bitflip
2.020202020202020443e-01,2.139999999999999958e-01,1.729999999999999871e-01,1.950000000000000067e-01
2.121212121212121271e-01,2.210000000000000020e-01,1.819999999999999951e-01,2.049999999999999878e-01
2.222222222222222376e-01,2.290000000000000091e-01,1.950000000000000067e-01,2.129999999999999949e-01
2.323232323232323482e-01,2.419999999999999929e-01,2.039999999999999869e-01,2.200000000000000011e-01
2.424242424242424310e-01,2.469999999999999973e-01,2.210000000000000020e-01,2.320000000000000118e-01
2.525252525252525415e-01,2.600000000000000089e-01,2.300000000000000100e-01,2.409999999999999920e-01
2.626262626262626521e-01,2.670000000000000151e-01,2.379999999999999893e-01,2.459999999999999964e-01
2.727272727272727626e-01,2.720000000000000195e-01,2.489999999999999991e-01,2.600000000000000089e-01
2.828282828282828731e-01,2.879999999999999782e-01,2.530000000000000027e-01,2.720000000000000195e-01
2.929292929292929282e-01,2.939999999999999836e-01,2.680000000000000160e-01,2.839999999999999747e-01
3.030303030303030387e-01,3.029999999999999916e-01,2.770000000000000240e-01,2.899999999999999800e-01
3.131313131313131493e-01,3.109999999999999987e-01,2.889999999999999791e-01,2.979999999999999871e-01
3.232323232323232598e-01,3.240000000000000102e-01,2.979999999999999871e-01,3.109999999999999987e-01
3.333333333333333703e-01,3.340000000000000191e-01,3.099999999999999978e-01,3.190000000000000058e-01
3.434343434343434809e-01,3.449999999999999734e-01,3.160000000000000031e-01,3.280000000000000138e-01
3.535353535353535914e-01,3.569999999999999840e-01,3.230000000000000093e-01,3.380000000000000226e-01
3.636363636363636465e-01,3.699999999999999956e-01,3.330000000000000182e-01,3.509999999999999787e-01
3.737373737373737570e-01,3.790000000000000036e-01,3.459999999999999742e-01,3.609999999999999876e-01
3.838383838383838675e-01,3.880000000000000115e-01,3.589999999999999858e-01,3.719999999999999973e-01
3.939393939393939781e-01,3.940000000000000169e-01,3.689999999999999947e-01,3.830000000000000071e-01
4.040404040404040886e-01,4.050000000000000266e-01,3.790000000000000036e-01,3.980000000000000204e-01
4.141414141414141992e-01,4.109999999999999765e-01,3.920000000000000151e-01,4.099999999999999756e-01
4.242424242424242542e-01,4.199999999999999845e-01,4.069999999999999729e-01,4.209999999999999853e-01
4.343434343434343647e-01,4.269999999999999907e-01,4.229999999999999871e-01,4.309999999999999942e-01
4.444444444444444753e-01,4.309999999999999942e-01,4.349999999999999978e-01,4.450000000000000067e-01
4.545454545454545858e-01,4.380000000000000004e-01,4.430000000000000049e-01,4.560000000000000164e-01
4.646464646464646964e-01,4.520000000000000129e-01,4.530000000000000138e-01,4.640000000000000235e-01
4.747474747474748069e-01,4.600000000000000200e-01,4.630000000000000226e-01,4.699999999999999734e-01
4.848484848484848619e-01,4.689999999999999725e-01,4.799999999999999822e-01,4.889999999999999902e-01
4.949494949494949725e-01,4.759999999999999787e-01,4.959999999999999964e-01,5.030000000000000027e-01
5.050505050505050830e-01,4.829999999999999849e-01,5.060000000000000053e-01,5.160000000000000142e-01
5.151515151515152491e-01,4.929999999999999938e-01,5.210000000000000187e-01,5.300000000000000266e-01
5.252525252525253041e-01,5.020000000000000018e-01,5.270000000000000240e-01,5.450000000000000400e-01
