nominal, lapu, genrr, bitflip
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,7.000000000000000146e-03,5.000000000000000104e-03,7.000000000000000146e-03
2.020202020202020374e-02,2.199999999999999872e-02,1.000000000000000021e-02,1.400000000000000029e-02
3.030303030303030387e-02,3.099999999999999978e-02,1.400000000000000029e-02,1.899999999999999953e-02
4.040404040404040747e-02,4.399999999999999745e-02,1.700000000000000122e-02,2.699999999999999969e-02
5.050505050505051108e-02,5.800000000000000294e-02,2.599999999999999881e-02,3.599999999999999728e-02
6.060606060606060774e-02,7.000000000000000666e-02,3.300000000000000155e-02,4.299999999999999656e-02
7.070707070707071829e-02,8.000000000000000167e-02,3.899999999999999994e-02,5.500000000000000028e-02
8.080808080808081495e-02,8.899999999999999578e-02,4.499999999999999833e-02,6.600000000000000311e-02
9.090909090909091161e-02,9.600000000000000200e-02,5.600000000000000117e-02,7.199999999999999456e-02
1.010101010101010222e-01,1.079999999999999988e-01,6.400000000000000133e-02,8.300000000000000433e-02
1.111111111111111188e-01,1.179999999999999938e-01,7.099999999999999367e-02,9.299999999999999933e-02
1.212121212121212155e-01,1.300000000000000044e-01,8.300000000000000433e-02,1.010000000000000064e-01
1.313131313131313260e-01,1.429999999999999882e-01,9.099999999999999756e-02,1.100000000000000006e-01
1.414141414141414366e-01,1.499999999999999944e-01,1.019999999999999934e-01,1.199999999999999956e-01
1.515151515151515194e-01,1.610000000000000042e-01,1.120000000000000023e-01,1.280000000000000027e-01
1.616161616161616299e-01,1.729999999999999871e-01,1.260000000000000009e-01,1.390000000000000124e-01
1.717171717171717404e-01,1.849999999999999978e-01,1.320000000000000062e-01,1.559999999999999998e-01
1.818181818181818232e-01,1.950000000000000067e-01,1.469999999999999918e-01,1.670000000000000095e-01
1.919191919191919338e-01,2.010000000000000120e-01,1.570000000000000007e-01,1.779999999999999916e-01
2.020202020202020443e-01,2.139999999999999958e-01,1.700000000000000122e-01,1.880000000000000004e-01
2.121212121212121271e-01,2.210000000000000020e-01,1.809999999999999942e-01,2.039999999999999869e-01
2.222222222222222376e-01,2.300000000000000100e-01,1.950000000000000067e-01,2.149999999999999967e-01
2.323232323232323482e-01,2.409999999999999920e-01,2.079999999999999905e-01,2.210000000000000020e-01
2.424242424242424310e-01,2.469999999999999973e-01,2.159999999999999976e-01,2.330000000000000127e-01
2.525252525252525415e-01,2.610000000000000098e-01,2.280000000000000082e-01,2.449999999999999956e-01
2.626262626262626521e-01,2.670000000000000151e-01,2.369999999999999885e-01,2.550000000000000044e-01
2.727272727272727626e-01,2.740000000000000213e-01,2.489999999999999991e-01,2.620000000000000107e-01
