nominal, lapu, genrr, bitflip
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,5.000000000000000104e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.020202020202020374e-02,1.499999999999999944e-02,0.000000000000000000e+00,1.000000000000000021e-03
3.030303030303030387e-02,2.500000000000000139e-02,0.000000000000000000e+00,3.000000000000000062e-03
4.040404040404040747e-02,2.900000000000000147e-02,0.000000000000000000e+00,5.000000000000000104e-03
5.050505050505051108e-02,3.799999999999999906e-02,0.000000000000000000e+00,7.000000000000000146e-03
6.060606060606060774e-02,5.199999999999999761e-02,0.000000000000000000e+00,1.400000000000000029e-02
7.070707070707071829e-02,6.600000000000000311e-02,0.000000000000000000e+00,2.000000000000000042e-02
8.080808080808081495e-02,7.699999999999999900e-02,0.000000000000000000e+00,2.800000000000000058e-02
9.090909090909091161e-02,8.100000000000000255e-02,0.000000000000000000e+00,3.799999999999999906e-02
1.010101010101010222e-01,8.999999999999999667e-02,0.000000000000000000e+00,4.200000000000000261e-02
1.111111111111111188e-01,1.000000000000000056e-01,0.000000000000000000e+00,5.199999999999999761e-02
1.212121212121212155e-01,1.189999999999999947e-01,0.000000000000000000e+00,6.099999999999999867e-02
1.313131313131313260e-01,1.290000000000000036e-01,0.000000000000000000e+00,7.000000000000000666e-02
1.414141414141414366e-01,1.409999999999999865e-01,0.000000000000000000e+00,7.799999999999999989e-02
1.515151515151515194e-01,1.449999999999999900e-01,0.000000000000000000e+00,8.699999999999999400e-02
1.616161616161616299e-01,1.529999999999999971e-01,0.000000000000000000e+00,9.900000000000000466e-02
1.717171717171717404e-01,1.620000000000000051e-01,0.000000000000000000e+00,1.059999999999999970e-01
1.818181818181818232e-01,1.749999999999999889e-01,0.000000000000000000e+00,1.189999999999999947e-01
1.919191919191919338e-01,1.839999999999999969e-01,0.000000000000000000e+00,1.300000000000000044e-01
2.020202020202020443e-01,1.950000000000000067e-01,0.000000000000000000e+00,1.350000000000000089e-01
2.121212121212121271e-01,2.049999999999999878e-01,0.000000000000000000e+00,1.469999999999999918e-01
2.222222222222222376e-01,2.129999999999999949e-01,0.000000000000000000e+00,1.650000000000000078e-01
2.323232323232323482e-01,2.230000000000000038e-01,0.000000000000000000e+00,1.769999999999999907e-01
2.424242424242424310e-01,2.369999999999999885e-01,0.000000000000000000e+00,1.900000000000000022e-01
2.525252525252525415e-01,2.439999999999999947e-01,0.000000000000000000e+00,2.030000000000000138e-01
2.626262626262626521e-01,2.500000000000000000e-01,0.000000000000000000e+00,2.119999999999999940e-01
2.727272727272727626e-01,2.570000000000000062e-01,0.000000000000000000e+00,2.300000000000000100e-01
2.828282828282828731e-01,2.630000000000000115e-01,0.000000000000000000e+00,2.389999999999999902e-01
2.929292929292929282e-01,2.710000000000000187e-01,0.000000000000000000e+00,2.540000000000000036e-01
3.030303030303030387e-01,2.780000000000000249e-01,0.000000000000000000e+00,2.700000000000000178e-01
