nominal, lapu, genrr, bitflip
3.535353535353535914e-01,3.370000000000000218e-01,2.389999999999999902e-01,3.790000000000000036e-01
3.636363636363636465e-01,3.469999999999999751e-01,2.489999999999999991e-01,3.860000000000000098e-01
3.737373737373737570e-01,3.549999999999999822e-01,2.570000000000000062e-01,4.010000000000000231e-01
3.838383838383838675e-01,3.609999999999999876e-01,2.720000000000000195e-01,4.119999999999999774e-01
3.939393939393939781e-01,3.689999999999999947e-01,2.770000000000000240e-01,4.239999999999999880e-01
4.040404040404040886e-01,3.770000000000000018e-01,2.849999999999999756e-01,4.349999999999999978e-01
4.141414141414141992e-01,3.880000000000000115e-01,3.059999999999999942e-01,4.460000000000000075e-01
4.242424242424242542e-01,3.950000000000000178e-01,3.130000000000000004e-01,4.540000000000000147e-01
4.343434343434343647e-01,4.030000000000000249e-01,3.230000000000000093e-01,4.660000000000000253e-01
4.444444444444444753e-01,4.060000000000000275e-01,3.270000000000000129e-01,4.769999999999999796e-01
4.545454545454545858e-01,4.139999999999999791e-01,3.370000000000000218e-01,4.909999999999999920e-01
4.646464646464646964e-01,4.259999999999999898e-01,3.499999999999999778e-01,5.070000000000000062e-01
4.747474747474748069e-01,4.359999999999999987e-01,3.659999999999999920e-01,5.200000000000000178e-01
4.848484848484848619e-01,4.450000000000000067e-01,3.750000000000000000e-01,5.270000000000000240e-01
4.949494949494949725e-01,4.560000000000000164e-01,3.870000000000000107e-01,5.340000000000000302e-01
5.050505050505050830e-01,4.689999999999999725e-01,4.020000000000000240e-01,5.400000000000000355e-01
5.151515151515152491e-01,4.789999999999999813e-01,4.159999999999999809e-01,5.520000000000000462e-01
5.252525252525253041e-01,4.919999999999999929e-01,4.229999999999999871e-01,5.679999999999999494e-01
5.353535353535353591e-01,5.000000000000000000e-01,4.380000000000000004e-01,5.809999999999999609e-01
5.454545454545455252e-01,5.110000000000000098e-01,4.470000000000000084e-01,5.909999999999999698e-01
5.555555555555555802e-01,5.160000000000000142e-01,4.610000000000000209e-01,6.019999999999999796e-01
5.656565656565657463e-01,5.200000000000000178e-01,4.719999999999999751e-01,6.159999999999999920e-01
5.757575757575758013e-01,5.330000000000000293e-01,4.849999999999999867e-01,6.260000000000000009e-01
5.858585858585858563e-01,5.500000000000000444e-01,4.979999999999999982e-01,6.380000000000000115e-01
5.959595959595960224e-01,5.620000000000000551e-01,5.080000000000000071e-01,6.480000000000000204e-01
6.060606060606060774e-01,5.769999999999999574e-01,5.220000000000000195e-01,6.620000000000000329e-01
6.161616161616162435e-01,5.859999999999999654e-01,5.360000000000000320e-01,6.730000000000000426e-01
6.262626262626262985e-01,5.999999999999999778e-01,5.520000000000000462e-01,6.810000000000000497e-01
6.363636363636364646e-01,6.069999999999999840e-01,5.679999999999999494e-01,6.929999999999999494e-01
6.464646464646465196e-01,6.159999999999999920e-01,5.759999999999999565e-01,7.019999999999999574e-01
6.565656565656565746e-01,6.250000000000000000e-01,5.889999999999999680e-01,7.129999999999999671e-01
6.666666666666667407e-01,6.290000000000000036e-01,6.019999999999999796e-01,7.269999999999999796e-01
6.767676767676767957e-01,6.460000000000000187e-01,6.149999999999999911e-01,7.339999999999999858e-01
6.868686868686869618e-01,6.570000000000000284e-01,6.290000000000000036e-01,7.409999999999999920e-01
6.969696969696970168e-01,6.660000000000000364e-01,6.370000000000000107e-01,7.510000000000000009e-01
7.070707070707071829e-01,6.750000000000000444e-01,6.540000000000000258e-01,7.560000000000000053e-01
7.171717171717172379e-01,6.870000000000000551e-01,6.650000000000000355e-01,7.630000000000000115e-01
7.272727272727272929e-01,6.919999999999999485e-01,6.710000000000000409e-01,7.690000000000000169e-01
7.373737373737374590e-01,6.989999999999999547e-01,6.879999999999999449e-01,7.820000000000000284e-01
7.474747474747475140e-01,7.109999999999999654e-01,6.999999999999999556e-01,7.890000000000000346e-01
7.575757575757576801e-01,7.219999999999999751e-01,7.089999999999999636e-01,7.980000000000000426e-01
7.676767676767677351e-01,7.349999999999999867e-01,7.199999999999999734e-01,8.090000000000000524e-01
7.777777777777777901e-01,7.459999999999999964e-01,7.409999999999999920e-01,8.169999999999999485e-01
7.878787878787879562e-01,7.570000000000000062e-01,7.590000000000000080e-01,8.249999999999999556e-01
7.979797979797980112e-01,7.690000000000000169e-01,7.690000000000000169e-01,8.389999999999999680e-01
