nominal, lapu, genrr, bitflip
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010187e-02,5.000000000000000104e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.020202020202020374e-02,1.499999999999999944e-02,0.000000000000000000e+00,1.000000000000000021e-03
3.030303030303030387e-02,2.500000000000000139e-02,1.000000000000000021e-03,3.000000000000000062e-03
4.040404040404040747e-02,2.900000000000000147e-02,5.000000000000000104e-03,6.000000000000000125e-03
5.050505050505051108e-02,3.799999999999999906e-02,6.000000000000000125e-03,1.099999999999999936e-02
6.060606060606060774e-02,5.199999999999999761e-02,1.200000000000000025e-02,1.499999999999999944e-02
7.070707070707071829e-02,6.600000000000000311e-02,1.299999999999999940e-02,2.000000000000000042e-02
8.080808080808081495e-02,7.699999999999999900e-02,1.799999999999999864e-02,2.999999999999999889e-02
9.090909090909091161e-02,8.100000000000000255e-02,2.299999999999999961e-02,4.000000000000000083e-02
1.010101010101010222e-01,8.899999999999999578e-02,2.900000000000000147e-02,4.399999999999999745e-02
1.111111111111111188e-01,1.000000000000000056e-01,3.400000000000000244e-02,5.399999999999999939e-02
1.212121212121212155e-01,1.189999999999999947e-01,3.799999999999999906e-02,5.999999999999999778e-02
1.313131313131313260e-01,1.300000000000000044e-01,4.599999999999999922e-02,7.199999999999999456e-02
1.414141414141414366e-01,1.409999999999999865e-01,5.199999999999999761e-02,8.300000000000000433e-02
1.515151515151515194e-01,1.459999999999999909e-01,5.700000000000000205e-02,9.299999999999999933e-02
1.616161616161616299e-01,1.529999999999999971e-01,5.999999999999999778e-02,9.600000000000000200e-02
1.717171717171717404e-01,1.610000000000000042e-01,6.500000000000000222e-02,1.029999999999999943e-01
1.818181818181818232e-01,1.739999999999999880e-01,7.399999999999999634e-02,1.239999999999999991e-01
1.919191919191919338e-01,1.829999999999999960e-01,7.699999999999999900e-02,1.350000000000000089e-01
2.020202020202020443e-01,1.950000000000000067e-01,8.400000000000000522e-02,1.499999999999999944e-01
2.121212121212121271e-01,2.049999999999999878e-01,9.400000000000000022e-02,1.539999999999999980e-01
2.222222222222222376e-01,2.129999999999999949e-01,1.110000000000000014e-01,1.640000000000000069e-01
2.323232323232323482e-01,2.230000000000000038e-01,1.189999999999999947e-01,1.789999999999999925e-01
2.424242424242424310e-01,2.379999999999999893e-01,1.260000000000000009e-01,1.839999999999999969e-01
2.525252525252525415e-01,2.449999999999999956e-01,1.340000000000000080e-01,1.970000000000000084e-01
2.626262626262626521e-01,2.500000000000000000e-01,1.419999999999999873e-01,2.079999999999999905e-01
2.727272727272727626e-01,2.570000000000000062e-01,1.519999999999999962e-01,2.179999999999999993e-01
2.828282828282828731e-01,2.630000000000000115e-01,1.610000000000000042e-01,2.260000000000000064e-01
2.929292929292929282e-01,2.720000000000000195e-01,1.710000000000000131e-01,2.330000000000000127e-01
3.030303030303030387e-01,2.790000000000000258e-01,1.809999999999999942e-01,2.479999999999999982e-01
