nominal, lapu, genrr, bitflip
2.222222222222222376e-01,1.950000000000000067e-01,1.110000000000000014e-01,2.059999999999999887e-01
2.323232323232323482e-01,2.119999999999999940e-01,1.209999999999999964e-01,2.129999999999999949e-01
2.424242424242424310e-01,2.220000000000000029e-01,1.260000000000000009e-01,2.210000000000000020e-01
2.525252525252525415e-01,2.270000000000000073e-01,1.300000000000000044e-01,2.340000000000000135e-01
2.626262626262626521e-01,2.399999999999999911e-01,1.360000000000000098e-01,2.479999999999999982e-01
2.727272727272727626e-01,2.510000000000000009e-01,1.479999999999999927e-01,2.570000000000000062e-01
2.828282828282828731e-01,2.610000000000000098e-01,1.590000000000000024e-01,2.670000000000000151e-01
2.929292929292929282e-01,2.730000000000000204e-01,1.710000000000000131e-01,2.829999999999999738e-01
3.030303030303030387e-01,2.879999999999999782e-01,1.789999999999999925e-01,2.949999999999999845e-01
3.131313131313131493e-01,2.999999999999999889e-01,1.859999999999999987e-01,3.089999999999999969e-01
3.232323232323232598e-01,3.130000000000000004e-01,1.980000000000000093e-01,3.220000000000000084e-01
3.333333333333333703e-01,3.200000000000000067e-01,2.069999999999999896e-01,3.340000000000000191e-01
3.434343434343434809e-01,3.270000000000000129e-01,2.220000000000000029e-01,3.469999999999999751e-01
3.535353535353535914e-01,3.370000000000000218e-01,2.340000000000000135e-01,3.639999999999999902e-01
3.636363636363636465e-01,3.489999999999999769e-01,2.530000000000000027e-01,3.870000000000000107e-01
3.737373737373737570e-01,3.549999999999999822e-01,2.590000000000000080e-01,3.990000000000000213e-01
3.838383838383838675e-01,3.609999999999999876e-01,2.740000000000000213e-01,4.099999999999999756e-01
3.939393939393939781e-01,3.679999999999999938e-01,2.780000000000000249e-01,4.249999999999999889e-01
4.040404040404040886e-01,3.770000000000000018e-01,2.859999999999999765e-01,4.359999999999999987e-01
4.141414141414141992e-01,3.880000000000000115e-01,3.029999999999999916e-01,4.490000000000000102e-01
4.242424242424242542e-01,3.950000000000000178e-01,3.109999999999999987e-01,4.600000000000000200e-01
4.343434343434343647e-01,4.030000000000000249e-01,3.210000000000000075e-01,4.660000000000000253e-01
4.444444444444444753e-01,4.060000000000000275e-01,3.280000000000000138e-01,4.779999999999999805e-01
4.545454545454545858e-01,4.129999999999999782e-01,3.370000000000000218e-01,4.859999999999999876e-01
4.646464646464646964e-01,4.249999999999999889e-01,3.509999999999999787e-01,4.979999999999999982e-01
4.747474747474748069e-01,4.359999999999999987e-01,3.649999999999999911e-01,5.080000000000000071e-01
4.848484848484848619e-01,4.450000000000000067e-01,3.729999999999999982e-01,5.190000000000000169e-01
4.949494949494949725e-01,4.550000000000000155e-01,3.900000000000000133e-01,5.320000000000000284e-01
5.050505050505050830e-01,4.689999999999999725e-01,4.010000000000000231e-01,5.410000000000000364e-01
5.151515151515152491e-01,4.799999999999999822e-01,4.119999999999999774e-01,5.540000000000000480e-01
5.252525252525253041e-01,4.889999999999999902e-01,4.219999999999999862e-01,5.699999999999999512e-01
5.353535353535353591e-01,5.000000000000000000e-01,4.380000000000000004e-01,5.889999999999999680e-01
5.454545454545455252e-01,5.110000000000000098e-01,4.470000000000000084e-01,5.969999999999999751e-01
5.555555555555555802e-01,5.160000000000000142e-01,4.600000000000000200e-01,6.119999999999999885e-01
5.656565656565657463e-01,5.200000000000000178e-01,4.739999999999999769e-01,6.149999999999999911e-01
5.757575757575758013e-01,5.320000000000000284e-01,4.869999999999999885e-01,6.250000000000000000e-01
5.858585858585858563e-01,5.510000000000000453e-01,4.959999999999999964e-01,6.410000000000000142e-01
5.959595959595960224e-01,5.629999999999999449e-01,5.090000000000000080e-01,6.550000000000000266e-01
6.060606060606060774e-01,5.749999999999999556e-01,5.270000000000000240e-01,6.650000000000000355e-01
6.161616161616162435e-01,5.839999999999999636e-01,5.400000000000000355e-01,6.720000000000000417e-01
6.262626262626262985e-01,5.999999999999999778e-01,5.490000000000000435e-01,6.830000000000000515e-01
6.363636363636364646e-01,6.079999999999999849e-01,5.649999999999999467e-01,6.899999999999999467e-01
6.464646464646465196e-01,6.179999999999999938e-01,5.749999999999999556e-01,6.959999999999999520e-01
6.565656565656565746e-01,6.250000000000000000e-01,5.879999999999999671e-01,7.099999999999999645e-01
6.666666666666667407e-01,6.300000000000000044e-01,6.029999999999999805e-01,7.279999999999999805e-01
6.767676767676767957e-01,6.460000000000000187e-01,6.109999999999999876e-01,7.359999999999999876e-01
6.868686868686869618e-01,6.580000000000000293e-01,6.280000000000000027e-01,7.399999999999999911e-01
6.969696969696970168e-01,6.660000000000000364e-01,6.420000000000000151e-01,7.510000000000000009e-01
7.070707070707071829e-01,6.740000000000000435e-01,6.520000000000000240e-01,7.640000000000000124e-01
7.171717171717172379e-01,6.870000000000000551e-01,6.650000000000000355e-01,7.710000000000000187e-01
7.272727272727272929e-01,6.919999999999999485e-01,6.750000000000000444e-01,7.820000000000000284e-01
7.373737373737374590e-01,6.979999999999999538e-01,6.870000000000000551e-01,7.950000000000000400e-01
7.474747474747475140e-01,7.119999999999999662e-01,6.999999999999999556e-01,8.020000000000000462e-01
7.575757575757576801e-01,7.219999999999999751e-01,7.119999999999999662e-01,8.090000000000000524e-01
7.676767676767677351e-01,7.329999999999999849e-01,7.209999999999999742e-01,8.129999999999999449e-01
7.777777777777777901e-01,7.439999999999999947e-01,7.369999999999999885e-01,8.199999999999999512e-01
7.878787878787879562e-01,7.580000000000000071e-01,7.540000000000000036e-01,8.289999999999999591e-01
7.979797979797980112e-01,7.690000000000000169e-01,7.640000000000000124e-01,8.409999999999999698e-01
8.080808080808081773e-01,7.840000000000000302e-01,7.780000000000000249e-01,8.469999999999999751e-01
8.181818181818182323e-01,7.930000000000000382e-01,7.960000000000000409e-01,8.639999999999999902e-01
8.282828282828283983e-01,8.030000000000000471e-01,8.050000000000000488e-01,8.689999999999999947e-01
8.383838383838384534e-01,8.149999999999999467e-01,8.179999999999999494e-01,8.820000000000000062e-01
8.484848484848485084e-01,8.249999999999999556e-01,8.349999999999999645e-01,8.930000000000000160e-01
8.585858585858586745e-01,8.319999999999999618e-01,8.499999999999999778e-01,9.010000000000000231e-01
8.686868686868687295e-01,8.409999999999999698e-01,8.599999999999999867e-01,9.030000000000000249e-01
8.787878787878788955e-01,8.499999999999999778e-01,8.760000000000000009e-01,9.140000000000000346e-01
8.888888888888889506e-01,8.649999999999999911e-01,8.870000000000000107e-01,9.220000000000000417e-01
8.989898989898991166e-01,8.760000000000000009e-01,8.980000000000000204e-01,9.290000000000000480e-01
9.090909090909091717e-01,8.850000000000000089e-01,9.120000000000000329e-01,9.379999999999999449e-01
9.191919191919192267e-01,8.980000000000000204e-01,9.210000000000000409e-01,9.499999999999999556e-01
9.292929292929293927e-01,9.140000000000000346e-01,9.330000000000000515e-01,9.579999999999999627e-01
9.393939393939394478e-01,9.270000000000000462e-01,9.419999999999999485e-01,9.649999999999999689e-01
9.494949494949496138e-01,9.419999999999999485e-01,9.639999999999999680e-01,9.719999999999999751e-01
9.595959595959596689e-01,9.579999999999999627e-01,9.729999999999999760e-01,9.799999999999999822e-01
9.696969696969697239e-01,9.639999999999999680e-01,9.829999999999999849e-01,9.829999999999999849e-01
9.797979797979798899e-01,9.759999999999999787e-01,9.869999999999999885e-01,9.889999999999999902e-01
9.898989898989899450e-01,9.849999999999999867e-01,9.949999999999999956e-01,9.939999999999999947e-01
1.000000000000000000e+00,9.959999999999999964e-01,1.000000000000000000e+00,1.000000000000000000e+00
